A33		5f196eb52dce9|-	sementity/class=instance@type=Top>CancerDetection
AAF-EE		5f196f1c44120|-	sementity/class=instance@type=Top>MedicalTest
AAP		5f19704580bc2|-	sementity/class=instance@type=Top>BioMarker
A6		5f19707eaaaa6|-	sementity/class=instance@type=Top>CancerTreatment
abarelix		5f19708c39a07|-	sementity/class=instance@type=Top>CancerTreatment
abdomen		5f1970a2818b6|-	sementity/class=instance@type=Top>BodyPart
Abegrin		5f1970b4367e3|-	sementity/class=instance@type=Top>CancerTreatment
abemaciclib		5f1970c3cbaa6|-	sementity/class=instance@type=Top>CancerTreatment
ABI-007		5f1970d7e4286|-	sementity/class=instance@type=Top>CancerTreatment
ablación		5f19711d818e1|-	sementity/class=instance@type=Top>CancerTreatment
ablación con coagulador de haz de argón		5f197137d4fd3|-	sementity/class=instance@type=Top>CancerTreatment
ablación de andrógeno		5f1971544b210|-	sementity/class=instance@type=Top>CancerTreatment
ablación de la médula ósea		5f1971899fa04|-	sementity/class=instance@type=Top>CancerTreatment
ablación de andrógeno		5f1971a83b1b1|-	sementity/class=instance@type=Top>CancerTreatment
ablación por alcohol		5f1971c0bd38c|-	sementity/class=instance@type=Top>CancerTreatment
ablación por etanol		5f1971d44f548|-	sementity/class=instance@type=Top>CancerTreatment
ablación por radiofrecuencia		5f1971ed66982|-	sementity/class=instance@type=Top>CancerTreatment
ablación térmica		5f1971fdcdcea|-	sementity/class=instance@type=Top>CancerTreatment
ablación transuretral con aguja		5f19720e65833|-	sementity/class=instance@type=Top>CancerTreatment
ablación transuretral con radiofrecuencia		5f19723a7dc6e|-	sementity/class=instance@type=Top>CancerTreatment
Abraxane		5f19724f1d677|-	sementity/class=instance@type=Top>CancerTreatment
absceso		5f1972b768404|-	sementity/class=instance@type=Top>Disease
absorciometría dual de rayos X		5f197330dcf5b|-	sementity/class=instance@type=Top>MedicalTest
absorciométrica con rayos X de energía dual		5f19734022ae5|-	sementity/class=instance@type=Top>MedicalTest
ABT-263		5f197358daf95|-	sementity/class=instance@type=Top>CancerTreatment
ABT-510		5f19736b7a497|-	sementity/class=instance@type=Top>CancerTreatment
ABT-751		5f197379a2a2f|-	sementity/class=instance@type=Top>CancerTreatment
ABT-869		5f197386d8546|-	sementity/class=instance@type=Top>CancerTreatment
ABT-888		5f197395a88d0|-	sementity/class=instance@type=Top>CancerTreatment
abuso de drogas		5f1973a69b6aa|-	sementity/class=instance@type=Top>Disease
ABVD		5f1973b377714|-	sementity/class=instance@type=Top>CancerTreatment
ABVE		5f1973c10ed34|-	sementity/class=instance@type=Top>CancerTreatment
ABVE-PC		5f1973d46c369|-	sementity/class=instance@type=Top>CancerTreatment
ABX-EGF		5f1973ef169c9|-	sementity/class=instance@type=Top>CancerTreatment
AC		5f1973fcaa530|-	sementity/class=instance@type=Top>CancerTreatment
AC-T		5f1974082cccd|-	sementity/class=instance@type=Top>CancerTreatment
AC-T-T		5f197411f0f03|-	sementity/class=instance@type=Top>CancerTreatment
acalabrutinib		5f1974216ac58|-	sementity/class=instance@type=Top>CancerTreatment
ACAPHA		5f19743a3ed86|-	sementity/class=instance@type=Top>CancerTreatment
accidente cerebrovascular		5f19744d30cbc|-	sementity/class=instance@type=Top>Disease
accidente cerebrovascular hemorrágico		5f19746846118|-	sementity/class=instance@type=Top>Disease
ACE		5f1974a31bdc8|-	sementity/class=instance@type=Top>CancerDetection
acedera de las ovejas		5f1974b9ab3e9|-	sementity/class=instance@type=Top>CancerTreatment
acederilla		5f1974c8e417d|-	sementity/class=instance@type=Top>CancerTreatment
acelerador lineal		5f197504e9d3a|-	sementity/class=instance@type=Top>CancerTreatment
acelerador lineal de megavoltaje		5f197517b4f18|-	sementity/class=instance@type=Top>CancerTreatment
acelerador lineal de MeV		5f197525cfab7|-	sementity/class=instance@type=Top>CancerTreatment
acetato de abiraterona		5f19754f1d523|-	sementity/class=instance@type=Top>CancerTreatment
acetato de degarelix		5f1975a4208ac|-	sementity/class=instance@type=Top>CancerTreatment
acetato de goserelina		5f1975b4dadf9|-	sementity/class=instance@type=Top>CancerTreatment
acetato de histrelina		5f1975c559e36|-	sementity/class=instance@type=Top>CancerTreatment
acetato de lanreotida		5f1975dabe2b8|-	sementity/class=instance@type=Top>CancerTreatment
